created_time,queued_duration,running_duration
2018-08-16 02:09:50.000,37,2
2018-08-17 00:12:00.000,29,0
2018-08-17 01:12:14.000,15,2
2018-08-17 02:12:29.000,29,0
2018-08-17 03:12:45.000,15,0
2018-08-17 04:13:00.000,31,0
2018-08-17 05:13:14.000,69,0
2018-08-17 06:13:28.000,32,0
2018-08-17 07:13:42.000,64,2
2018-08-17 08:13:56.000,78,0
2018-08-17 09:14:11.000,18,0
2018-08-17 10:14:25.000,93,0
2018-08-17 11:14:39.000,80,0
2018-08-17 12:14:53.000,33,0
2018-08-17 13:15:07.000,23,0
2018-08-17 14:15:22.000,35,2
2018-08-17 15:15:36.000,75,2
2018-08-17 16:15:51.000,96,0
2018-08-17 17:16:06.000,72,0
2018-08-17 18:16:20.000,37,0
2018-08-17 19:16:35.000,76,2
2018-08-17 20:16:49.000,87,0
2018-08-17 21:17:03.000,85,2
2018-08-17 22:17:17.000,11,0
2018-08-17 23:17:32.000,25,2
2018-08-18 00:17:46.000,10,0
2018-08-18 01:18:00.000,27,0
2018-08-18 02:18:15.000,67,0
2018-08-18 03:18:29.000,26,2
2018-08-18 04:18:43.000,8,6
2018-08-18 05:18:58.000,30,0
2018-08-18 06:19:12.000,16,0
2018-08-18 07:19:26.000,30,0
2018-08-18 08:19:40.000,15,0
2018-08-18 09:19:54.000,87,0
2018-08-18 10:20:09.000,17,2
2018-08-18 11:20:23.000,37,0
2018-08-18 12:20:37.000,21,0
2018-08-18 13:20:51.000,38,0
2018-08-18 14:21:06.000,21,2
2018-08-18 15:21:22.000,39,0
2018-08-18 16:21:37.000,21,0
2018-08-18 17:21:52.000,35,0
2018-08-18 18:22:07.000,67,0
2018-08-18 19:22:22.000,37,0
2018-08-18 20:22:37.000,23,1
2018-08-18 21:22:52.000,38,0
2018-08-18 22:23:07.000,22,0
2018-08-18 23:23:21.000,36,0
2018-08-19 00:23:36.000,22,2
2018-08-19 01:23:52.000,38,0
2018-08-19 02:24:07.000,20,0
2018-08-19 03:24:22.000,36,0
2018-08-19 04:24:37.000,70,0
2018-08-19 05:24:52.000,35,0
2018-08-19 06:25:06.000,21,0
2018-08-19 07:25:21.000,36,2
2018-08-19 08:25:36.000,22,0
2018-08-19 09:25:51.000,36,0
2018-08-19 10:26:06.000,21,0
2018-08-19 11:26:21.000,35,0
2018-08-19 12:26:35.000,24,0
2018-08-19 13:26:50.000,36,2
2018-08-19 14:27:05.000,78,2
2018-08-19 15:27:20.000,92,0
2018-08-19 16:27:35.000,72,2
2018-08-19 17:27:50.000,88,0
2018-08-19 18:28:05.000,21,2
2018-08-19 19:28:20.000,37,0
2018-08-19 20:28:35.000,20,0
2018-08-19 21:28:50.000,89,0
2018-08-19 22:29:05.000,22,0
2018-08-19 23:29:19.000,86,0
2018-08-20 00:29:34.000,22,0
